Timeslot,Temperature
87,22.76
192,22.78
297,22.78
384,22.78
474,22.78
606,22.78
705,22.78
813,22.78
915,22.78
1017,22.78
1116,22.78
1227,22.8
1335,22.78
1434,22.8
1557,22.78
1662,22.8
1770,22.78
1875,22.78
1980,22.78
2064,22.78
2172,22.8
2256,22.78
2385,22.8
2490,22.78
2598,22.8
2694,22.78
2805,22.78
2913,22.78
3018,22.8
3135,22.78
3243,22.78
3345,22.78
3438,22.8
3543,22.78
3651,22.78
3759,22.8
3864,22.78
3969,22.76
4080,22.8
4173,22.8
4278,22.78
4389,22.8
4494,22.8
4602,22.8
4701,22.78
4794,22.8
4905,22.78
5007,22.8
5109,22.78
5223,22.78
5334,22.78
5421,22.78
5526,22.78
5634,22.78
5724,22.78
5859,22.78
5964,22.78
6054,22.8
6159,22.8
6267,22.8
6372,22.8
6489,22.8
6600,22.8
6702,22.8
6804,22.8
6909,22.78
7014,22.8
7125,22.8
7215,22.8
7323,22.78
7446,22.8
7554,22.8
7659,22.8
7767,22.8
7860,22.8
7962,22.8
8073,22.8
8178,22.8
8289,22.81
8391,22.78
8502,22.8
8586,22.8
8694,22.8
8799,22.8
8910,22.8
9018,22.8
9123,22.8
9231,22.8
9336,22.8
9441,22.8
9549,22.78
9636,22.8
9741,22.8
9849,22.8
9951,22.8
10056,22.78
10164,22.8
10275,22.8
10380,22.78
10485,22.78
10596,22.8
10704,22.8
10803,22.78
10911,22.8
11019,22.8
11127,22.8
11214,22.78
11322,22.8
11409,22.8
11535,22.8
11643,22.8
11751,22.78
11859,22.8
11970,22.8
12069,22.8
12174,22.8
12285,22.8
12369,22.8
12474,22.8
12558,22.8
12690,22.81
12804,22.8
12909,22.8
12990,22.78
13119,22.8
13221,22.78
13329,22.8
13431,22.8
13497,22.78
13662,22.8
13728,22.78
13845,22.8
13956,22.8
14067,22.8
14175,22.8
14277,22.78
14391,22.8
14502,22.8
14586,22.8
14694,22.8
14802,22.8
14925,22.8
15012,22.81
15120,22.81
15225,22.8
15312,22.78
15435,22.8
15537,22.8
15645,22.81
15753,22.8
15855,22.81
15945,22.81
16059,22.8
16170,22.8
16275,22.8
16380,22.81
16488,22.8
16596,22.8
16704,22.8
16791,22.8
16914,22.81
17022,22.8
17124,22.81
17196,22.8
17325,22.8
17406,22.8
17529,22.81
17640,22.8
17745,22.8
17856,22.81
17958,22.8
18063,22.8
18168,22.8
18279,22.8
18387,22.8
18477,22.8
18579,22.8
18693,22.8
18780,22.81
18891,22.81
18975,22.81
19089,22.8
19200,22.8
19311,22.8
19425,22.8
19512,22.8
19629,22.8
19734,22.8
19842,22.8
19932,22.78
20034,22.8
20142,22.8
20256,22.81
20364,22.8
20472,22.8
20574,22.8
20679,22.78
20769,22.8
20874,22.8
20979,22.8
21081,22.8
21192,22.8
21300,22.8
21384,22.81
21510,22.81
21615,22.81
21723,22.81
21834,22.8
21942,22.8
22032,22.8
22116,22.8
22227,22.81
22350,22.81
22458,22.8
22560,22.8
22671,22.81
22761,22.81
22869,22.8
