Timeslot,Temperature
45,26.27
150,26.25
240,26.27
345,26.28
456,26.27
564,26.28
669,26.28
759,26.3
870,26.32
978,26.3
1086,26.32
1176,26.3
1284,26.32
1392,26.33
1494,26.3
1599,26.3
1704,26.3
1812,26.32
1920,26.33
2028,26.35
2130,26.35
2241,26.33
2346,26.33
2454,26.35
2544,26.35
2655,26.33
2760,26.35
2865,26.33
2967,26.3
3075,26.32
3177,26.33
3288,26.35
3390,26.33
3495,26.28
3603,26.24
3696,26.21
3801,26.2
3924,26.24
4029,26.25
4119,26.27
4224,26.28
4332,26.3
4443,26.32
4545,26.33
4635,26.33
4740,26.35
4848,26.36
4959,26.35
5064,26.35
5166,26.35
5274,26.36
5382,26.36
5490,26.36
5595,26.36
5703,26.37
5796,26.39
5907,26.37
6012,26.37
6120,26.39
6207,26.4
6318,26.4
6432,26.4
6519,26.4
6630,26.4
6744,26.42
6846,26.42
6954,26.43
7059,26.42
7158,26.42
7275,26.43
7380,26.43
7467,26.43
7575,26.43
7683,26.44
7785,26.46
7887,26.44
7995,26.46
8103,26.43
8211,26.44
8319,26.44
8421,26.44
8529,26.44
8637,26.44
8745,26.43
8850,26.47
8943,26.47
9066,26.5
9150,26.5
9261,26.47
9366,26.44
9474,26.46
9585,26.44
9696,26.44
9804,26.46
9909,26.46
9999,26.46
10110,26.47
10218,26.47
10320,26.47
10422,26.47
10530,26.5
10632,26.5
10740,26.5
10851,26.51
10956,26.51
11064,26.52
11166,26.51
11271,26.52
11379,26.54
11487,26.54
11598,26.55
11697,26.55
11805,26.57
11910,26.57
12015,26.55
12120,26.55
12228,26.57
12315,26.46
12423,26.46
12537,26.44
12639,26.47
12744,26.5
12852,26.52
12936,26.52
13047,26.52
13164,26.54
13263,26.51
13371,26.54
13476,26.5
13575,26.52
13686,26.52
13791,26.54
13893,26.55
13998,26.54
14103,26.52
14214,26.55
14301,26.57
14406,26.58
14514,26.59
14622,26.59
14712,26.61
14823,26.59
14931,26.61
15033,26.61
15144,26.61
15255,26.62
15363,26.64
15465,26.64
15555,26.64
15663,26.65
15765,26.65
15873,26.67
15960,26.65
16089,26.65
16197,26.67
16287,26.65
16410,26.65
16497,26.67
16608,26.65
16713,26.65
16824,26.65
16929,26.69
17016,26.65
17142,26.65
17250,26.65
17334,26.64
17442,26.65
17550,26.65
17655,26.62
17763,26.59
17871,26.58
17958,26.61
18066,26.64
18174,26.64
18285,26.64
18393,26.65
18501,26.67
18603,26.65
18714,26.67
18825,26.67
18915,26.58
19023,26.61
19134,26.64
19233,26.64
19344,26.65
19440,26.65
19554,26.65
19662,26.65
19752,26.64
19866,26.61
19974,26.65
20085,26.65
20172,26.65
20274,26.65
20400,26.61
20487,26.64
20610,26.64
20712,26.62
20820,26.65
20907,26.65
21015,26.65
21126,26.65
21237,26.65
21345,26.65
21444,26.64
21549,26.65
21657,26.67
21762,26.67
21873,26.65
21981,26.58
22086,26.55
22191,26.52
22287,26.55
22392,26.58
22497,26.59
22605,26.61
22707,26.61
22815,26.62
22911,26.64
23019,26.61
23121,26.62
23226,26.62
23337,26.62
23442,26.64
23529,26.64
23652,26.62
23745,26.64
23850,26.58
23958,26.59
24063,26.59
24168,26.62
24276,26.61
24378,26.61
24486,26.62
24588,26.57
24696,26.59
24804,26.62
24909,26.62
25014,26.58
25101,26.55
25212,26.57
25317,26.58
25431,26.57
25539,26.61
25638,26.61
25749,26.62
25836,26.64
25944,26.65
26058,26.65
26166,26.64
26256,26.62
26358,26.62
26469,26.64
26586,26.65
26694,26.69
26784,26.64
26895,26.69
26997,26.69
27105,26.7
27210,26.72
27300,26.73
27411,26.73
27525,26.72
27630,26.74
27732,26.74
27840,26.73
27942,26.73
28026,26.73
28137,26.74
28245,26.76
28350,26.76
28440,26.76
28551,26.76
28671,26.77
28761,26.76
28884,26.77
28974,26.76
29079,26.76
29187,26.76
29289,26.74
29400,26.76
29514,26.77
29619,26.77
29712,26.77
29820,26.79
29925,26.73
30033,26.74
30141,26.77
30228,26.77
30333,26.77
30435,26.79
30546,26.79
30657,26.77
30759,26.79
30864,26.8
30969,26.8
31074,26.79
31182,26.8
31290,26.8
31395,26.8
31503,26.82
31608,26.8
31698,26.83
31806,26.82
31917,26.82
32022,26.83
32133,26.83
32223,26.82
32340,26.83
32454,26.84
32559,26.88
32646,26.88
32772,26.84
32859,26.84
32967,26.84
33075,26.82
33189,26.83
33276,26.82
33381,26.83
33492,26.84
33594,26.88
33699,26.84
33795,26.88
33903,26.84
34011,26.89
34119,26.88
34224,26.89
34326,26.88
34437,26.83
34542,26.8
34632,26.83
34740,26.88
34845,26.84
34950,26.84
35061,26.84
35169,26.88
35268,26.84
35373,26.88
35481,26.88
35568,26.89
35679,26.92
35784,26.9
35892,26.92
35997,26.93
36105,26.93
36216,26.93
36306,26.95
36414,26.95
36522,26.95
36633,26.95
36738,26.96
36843,26.97
36951,26.97
37056,26.97
37161,26.97
37269,26.97
37371,26.96
37482,26.99
37584,26.99
37671,27.0
37785,27.0
37890,27.0
37998,27.03
38106,27.02
38208,26.99
38310,27.0
38412,27.02
38520,27.03
38631,27.03
38718,27.03
38841,27.05
38931,27.05
39054,27.07
39156,27.07
39249,27.07
39354,27.08
39453,27.08
39576,27.1
39669,27.11
39774,27.11
39879,27.11
39987,27.11
40095,27.12
40200,27.12
40308,27.12
40413,27.14
40521,27.14
40614,27.14
40719,27.14
40827,27.14
40932,27.15
41037,27.14
41160,27.12
41250,27.11
41355,27.11
41466,27.11
41574,27.11
41664,27.02
41790,27.02
41895,27.02
42000,27.05
42105,27.08
42201,27.1
42309,27.11
42417,27.12
42519,27.14
42627,27.14
42729,27.17
42840,27.17
42951,27.18
43038,27.18
43164,27.2
43248,27.17
43359,27.2
43470,27.21
43563,27.21
43671,27.21
43782,27.22
43890,27.22
43998,27.22
44085,27.21
44193,27.17
44301,27.2
44412,27.21
44508,27.2
44616,27.22
44703,27.26
44829,27.25
44919,27.25
45027,27.25
45132,27.27
45243,27.26
45351,27.25
45456,27.26
45540,27.27
45651,27.27
45756,27.29
45870,27.29
45969,27.3
46071,27.3
46179,27.3
46290,27.3
46395,27.33
46500,27.32
46602,27.32
46707,27.33
46797,27.29
46920,27.25
