Timeslot,Temperature
49,-5.66
142,-5.63
247,-5.66
364,-5.66
472,-5.67
562,-5.66
679,-5.66
781,-5.66
868,-5.65
976,-5.66
1081,-5.67
1189,-5.65
1294,-5.66
1396,-5.66
1510,-5.66
1597,-5.66
1705,-5.7
1816,-5.67
1918,-5.67
2029,-5.73
2140,-5.7
2227,-5.7
2338,-5.7
2437,-5.74
2548,-5.73
2659,-5.74
2767,-5.71
2872,-5.7
2986,-5.71
3070,-5.75
3181,-5.75
3289,-5.78
3397,-5.77
3490,-5.8
3598,-5.78
3706,-5.78
3814,-5.81
3922,-5.8
4030,-5.8
4132,-5.81
4234,-5.81
4345,-5.81
4459,-5.81
4546,-5.8
4654,-5.78
4768,-5.8
4876,-5.83
4966,-5.8
5053,-5.8
5182,-5.8
5290,-5.81
5410,-5.8
5500,-5.81
5608,-5.83
5716,-5.81
5821,-5.8
5917,-5.83
6025,-5.81
6130,-5.83
6241,-5.81
6325,-5.81
6439,-5.8
6550,-5.81
6631,-5.81
6742,-5.83
6847,-5.84
6952,-5.84
7072,-5.84
7177,-5.85
7279,-5.85
7384,-5.89
7492,-5.85
7582,-5.85
7684,-5.89
7792,-5.89
7900,-5.85
8008,-5.89
8116,-5.89
8224,-5.9
8338,-5.9
8440,-5.9
8542,-5.9
8647,-5.9
8755,-5.9
8845,-5.9
8956,-5.89
9061,-5.92
9172,-5.92
9274,-5.92
9385,-5.89
9487,-5.92
9574,-5.92
9697,-5.92
9802,-5.9
9910,-5.92
10009,-5.89
10093,-5.9
10201,-5.89
10309,-5.92
10414,-5.92
10525,-5.9
10633,-5.9
10741,-5.89
10828,-5.89
10939,-5.92
11053,-5.89
11161,-5.85
11251,-5.9
11356,-5.89
11458,-5.89
11569,-5.89
11680,-5.89
11782,-5.9
11872,-5.85
11983,-5.89
12097,-5.9
12187,-5.9
12295,-5.92
12397,-5.9
12505,-5.92
12610,-5.92
12712,-5.95
12820,-5.95
12922,-5.95
13036,-5.95
13123,-5.97
13246,-5.96
13354,-5.96
13438,-5.95
13552,-5.96
13657,-5.95
13765,-5.96
13876,-5.97
13975,-5.96
14080,-5.95
14188,-5.95
14293,-5.95
14395,-5.96
14488,-5.95
14596,-5.95
14695,-5.93
14800,-5.96
14911,-5.93
15022,-5.95
15130,-5.95
15235,-5.95
15340,-5.95
15442,-5.96
15553,-5.95
15643,-5.95
15766,-5.93
15871,-5.95
15964,-5.9
16072,-5.93
